year,month,icd10_code,icd10_desc,value
2009,Jan,Insgesamt,Insgesamt,90026
2009,Jan,A00-B99,KAPITEL I: Bestimmte infektiöse und parasitäre Krankheiten,1794
2009,Jan,A00-A09,Infektiöse Darmkrankheiten,419
2009,Jan,A15-A19,Tuberkulose,31
2009,Jan,B15-B19,Virushepatitis,114
2009,Jan,B20-B24,HIV-Krankheit (Humane Immundefizienz-Viruskrankheit),43
2009,Jan,C00-D48,KAPITEL II: Neubildungen,20176
2009,Jan,C00-C97,Bösartige Neubildungen,19575
2009,Jan,C15-C26,Bösartige Neubildungen der Verdauungsorgane,5997
2009,Jan,C30-C39,Bösartige Neubildungen der Atmungsorgane und sonstiger intrathorakaler Organe,4018
2009,Jan,C43-C44,Melanom und sonstige bösartige Neubildungen der Haut,273
2009,Jan,C50,Bösartige Neubildung der Brustdrüse,1616
2009,Jan,C51-C58,Bösartige Neubildungen der weiblichen Genitalorgane,958
2009,Jan,C60-C63,Bösartige Neubildungen der männlichen Genitalorgane,1154
2009,Jan,C64-C68,Bösartige Neubildungen der Harnorgane,1212
2009,Jan,C81-C96,"Bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes",1615
2009,Jan,D50-D89,KAPITEL III: Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems,249
2009,Jan,E00-E90,"KAPITEL IV: Endokrine, Ernährungs- und Stoffwechselkrankheiten",3155
2009,Jan,E10-E14,Diabetes mellitus,2504
2009,Jan,F00-F99,KAPITEL V: Psychische und Verhaltensstörungen,2282
2009,Jan,F10-F19,Psychische und Verhaltensstörungen durch psychotrope Substanzen,555
2009,Jan,F10,Psychische und Verhaltensstörungen durch Alkohol,478
2009,Jan,G00-G99,KAPITEL VI: Krankheiten des Nervensystems,2257
2009,Jan,I00-I99,KAPITEL IX: Krankheiten des Kreislaufsystems,39069
2009,Jan,I10-I15,Hypertonie (Hochdruckkrankheit),3483
2009,Jan,I20-I25,Ischämische Herzkrankheiten,14894
2009,Jan,I21,Akuter Myokardinfarkt,6159
2009,Jan,I22,Rezidivierender Myokardinfarkt,449
2009,Jan,I30-I52,Sonstige Formen der Herzkrankheit,10380
2009,Jan,I60-I69,Zerebrovaskuläre Krankheiten,6654
2009,Jan,I64,"Schlaganfall, nicht als Blutung oder Infarkt bez.",2814
2009,Jan,I70-I79,"Krankheiten der Arterien, Arteriolen und Kapillaren",2112
2009,Jan,J00-J99,KAPITEL X: Krankheiten des Atmungssystems,8807
2009,Jan,J00-J06,Akute Infektionen der oberen Atemwege,44
2009,Jan,J10-J18,Grippe und Pneumonie,3453
2009,Jan,J10,Grippe durch nachgewiesene Influenzaviren,8
2009,Jan,J11,"Grippe, Viren nicht nachgewiesen",31
2009,Jan,J20-J22,Sonstige akute Infektionen der unteren Atemwege,177
2009,Jan,J40-J47,Chronische Krankheiten der unteren Atemwege,3912
2009,Jan,K00-K93,KAPITEL XI: Krankheiten des Verdauungssystems,4207
2009,Jan,K70-K77,Krankheiten der Leber,1499
2009,Jan,N00-N99,KAPITEL XIV: Krankheiten des Urogenitalsystems,2091
2009,Jan,O00-O99,"KAPITEL XV: Schwangerschaft, Geburt und Wochenbett",2
2009,Jan,P00-P96,"KAPITEL XVI: Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",84
2009,Jan,Q00-Q99,"KAPITEL XVII: Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",147
2009,Jan,R00-R99,"KAPITEL XVIII: Symptome und abnorme klinische und Laborbefunde, die a.n.k. sind",2517
2009,Jan,R95,Plötzlicher Kindstod,10
2009,Jan,S00-T98,"KAPITEL XIX: Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",2815
2009,Jan,S00-S09,Verletzungen des Kopfes,563
2009,Jan,S70-S79,Verletzungen der Hüfte und des Oberschenkels,417
2009,Jan,T00-T07,Verletzungen mit Beteiligung mehrerer Körperregionen,316
2009,Jan,T20-T32,Verbrennungen oder Verätzungen,30
2009,Jan,T33-T35,Erfrierungen,14
2009,Jan,T51-T65,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,120
2009,Jan,T66-T78,Sonstige und n.n.bez. Schäden durch äußere Ursachen,504
2009,Jan,V01-V99,Transportmittelunfälle,306
2009,Jan,W00-W19,Stürze,845
2009,Jan,W65-W74,Unfälle durch Ertrinken und Untergehen,14
2009,Jan,X60-X84,Vorsätzliche Selbstbeschädigung,766
2009,Jan,X85-Y09,Tätlicher Angriff,33
2009,Jan,Y10-Y34,"Ereignis, dessen nähere Umstände unbestimmt sind",239
2009,Feb,Insgesamt,Insgesamt,77205
2009,Feb,A00-B99,KAPITEL I: Bestimmte infektiöse und parasitäre Krankheiten,1574
2009,Feb,A00-A09,Infektiöse Darmkrankheiten,346
2009,Feb,A15-A19,Tuberkulose,30
2009,Feb,B15-B19,Virushepatitis,80
2009,Feb,B20-B24,HIV-Krankheit (Humane Immundefizienz-Viruskrankheit),38
2009,Feb,C00-D48,KAPITEL II: Neubildungen,17488
2009,Feb,C00-C97,Bösartige Neubildungen,17036
2009,Feb,C15-C26,Bösartige Neubildungen der Verdauungsorgane,5336
2009,Feb,C30-C39,Bösartige Neubildungen der Atmungsorgane und sonstiger intrathorakaler Organe,3455
2009,Feb,C43-C44,Melanom und sonstige bösartige Neubildungen der Haut,247
2009,Feb,C50,Bösartige Neubildung der Brustdrüse,1433
2009,Feb,C51-C58,Bösartige Neubildungen der weiblichen Genitalorgane,813
2009,Feb,C60-C63,Bösartige Neubildungen der männlichen Genitalorgane,992
2009,Feb,C64-C68,Bösartige Neubildungen der Harnorgane,1047
2009,Feb,C81-C96,"Bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes",1354
2009,Feb,D50-D89,KAPITEL III: Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems,226
2009,Feb,E00-E90,"KAPITEL IV: Endokrine, Ernährungs- und Stoffwechselkrankheiten",2540
2009,Feb,E10-E14,Diabetes mellitus,2073
2009,Feb,F00-F99,KAPITEL V: Psychische und Verhaltensstörungen,2150
2009,Feb,F10-F19,Psychische und Verhaltensstörungen durch psychotrope Substanzen,541
2009,Feb,F10,Psychische und Verhaltensstörungen durch Alkohol,443
2009,Feb,G00-G99,KAPITEL VI: Krankheiten des Nervensystems,1959
2009,Feb,I00-I99,KAPITEL IX: Krankheiten des Kreislaufsystems,33699
2009,Feb,I10-I15,Hypertonie (Hochdruckkrankheit),3007
2009,Feb,I20-I25,Ischämische Herzkrankheiten,12652
2009,Feb,I21,Akuter Myokardinfarkt,5111
2009,Feb,I22,Rezidivierender Myokardinfarkt,356
2009,Feb,I30-I52,Sonstige Formen der Herzkrankheit,9040
2009,Feb,I60-I69,Zerebrovaskuläre Krankheiten,5734
2009,Feb,I64,"Schlaganfall, nicht als Blutung oder Infarkt bez.",2446
2009,Feb,I70-I79,"Krankheiten der Arterien, Arteriolen und Kapillaren",1838
2009,Feb,J00-J99,KAPITEL X: Krankheiten des Atmungssystems,7210
2009,Feb,J00-J06,Akute Infektionen der oberen Atemwege,41
2009,Feb,J10-J18,Grippe und Pneumonie,2791
2009,Feb,J10,Grippe durch nachgewiesene Influenzaviren,5
2009,Feb,J11,"Grippe, Viren nicht nachgewiesen",57
2009,Feb,J20-J22,Sonstige akute Infektionen der unteren Atemwege,149
2009,Feb,J40-J47,Chronische Krankheiten der unteren Atemwege,3246
2009,Feb,K00-K93,KAPITEL XI: Krankheiten des Verdauungssystems,3649
2009,Feb,K70-K77,Krankheiten der Leber,1251
2009,Feb,N00-N99,KAPITEL XIV: Krankheiten des Urogenitalsystems,1594
2009,Feb,O00-O99,"KAPITEL XV: Schwangerschaft, Geburt und Wochenbett",1
2009,Feb,P00-P96,"KAPITEL XVI: Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",94
2009,Feb,Q00-Q99,"KAPITEL XVII: Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",142
2009,Feb,R00-R99,"KAPITEL XVIII: Symptome und abnorme klinische und Laborbefunde, die a.n.k. sind",2145
2009,Feb,R95,Plötzlicher Kindstod,17
