Statistik,Gebiet,Geschlecht,Jahr,Alter,Kalenderwoche,Sterbefaelle,Qualitaetskennzeichen
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,1,24919,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,1,110,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,1,47,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,1,72,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,1,114,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,1,183,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,1,444,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,1,802,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,1,1205,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,1,1512,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,1,1908,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,1,2864,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,1,5181,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,1,4965,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,1,3901,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,1,1611,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,2,24532,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,2,122,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,2,50,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,2,72,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,2,123,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,2,244,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,2,430,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,2,804,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,2,1168,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,2,1536,e
