, SW01, SW02, SW03, SW04, SW05, SW06, SW07, SW08, SW09, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW50, SW51, SW52, SW53
2000/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/20,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0.01,0.01,0,0,0.17,1.12,7.84,27.24,41.38,43.97,33.16,21.24,15.09,9.09,7.6,5.85,4.4,3.93,2.86,2.86,5.09,3.85,
2020/21,3.27,2.95,3.7,4.78,5.89,7.36,9.67,11.62,10.72,10.44,11.87,14.96,15.89,19.35,31.71,50.99,90.69,134.56,152.38,154.99,155.66,149.31,155.59,189.45,211.67,168.32,149.18,176.51,144.37,115.99,94.85,78.41,61.68,63.49,68.36,70.89,86.62,112.3,141,133.39,143.32,172.19,175.41,151.18,122.31,85.78,63.88,36.23,25.07,17.09,8.86,5.9,5.32
2021/22,6.8,11.05,15.35,18.84,24.78,38.89,60.19,80.46,90.61,86.87,74.51,65.02,68.49,70.35,79.24,118.5,166.11,215.63,328.65,426.21,488.81,470.3,409.68,331.5,234.95,252.94,409.56,589.01,965.51,1351.24,1566.91,1588.25,1447.73,1324.84,1373.8,1714.11,1919.2,1925.44,1569.23,1193.06,944.27,887.05,723.21,570.87,495.12,354.8,227.04,297.31,402.01,501.72,696.01,754.66,
2022/23,762.62,818.27,760.28,601.06,439.98,361.7,319.34,276.37,244.6,247.44,277.64,347.6,556.6,720.51,783.14,661.52,453.68,295.6,245.15,205.91,207.12,224.51,242.41,271.02,281.59,184.14,158.34,108.22,76.43,89.07,102.38,105.37,119.14,138.07,105.04,53.71,49.51,40.31,27.93,18.04,16.05,14.16,11.4,9.06,8.24,5.4,5.28,3.47,2.94,2.49,1.91,1.4,
2023/24,1.29,1.53,1.56,2.26,2.56,3.28,5.36,6.33,6.78,9.16,10.81,11.14,12.52,13.61,18.01,19.76,27.3,28.35,34.23,35.33,38.47,39.64,45.91,53.64,44.63,22,22.23,15.69,10.82,9.39,7.72,6.4,4.43,3.69,2.73,2.18,1.87,1.62,1.2,1.2,0.97,0.84,1.08,1.4,1.24,1.64,1.19,1.26,1.82,2.59,4.32,5.52,
2024/25,5.75,7.2,7.85,7.68,7.44,7.46,7.35,8.01,9.24,10.45,9.38,12.84,16.41,13.25,20.02,20.1,20.11,14.54,14.37,13.16,13.36,13.16,11.21,10.93,9.76,4.3,5.65,5.34,4.29,4.38,4.23,3.21,2.8,2.56,2.21,1.6,1.54,1.21,1.23,1.01,1.04,0.83,0.71,0.62,0.69,0.7,0.89,0.86,1.06,0.84,1,0.9,
2025/26,0.75,0.8,0.92,1,1.01,1.31,1.56,1.76,2.11,2.73,3.12,3.73,4.45,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
