, SW01, SW02, SW03, SW04, SW05, SW06, SW07, SW08, SW09, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW50, SW51, SW52, SW53
2000/01,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.02,0.06,0.22,0.52,0.61,0.46,0.28,0.28,0.13,0.08,0.07,0.04,0.03,0.02,0.02,0.03,0.01,0,0,0,0,0,0,0,0,
2001/02,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.07,0.08,0.1,0.14,0.18,0.29,0.28,0.43,0.48,0.33,0.19,0.17,0.11,0.08,0.04,0.03,0.01,0,0,0,0,0,0,
2002/03,0,0,,,,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0.02,0.08,0.17,0.36,0.52,1.17,1.6,1.71,1.56,1.16,0.71,0.38,0.17,0.09,0.05,0.02,0.02,0,0.01,0,0,0,0,0,
2003/04,0,0,,0,0,,,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0.02,0.02,0.04,0.09,0.12,0.07,0.08,0.12,0.24,0.31,0.41,0.57,0.52,0.44,0.28,0.3,0.28,0.24,0.15,0.07,0.03,0.01,0.01,0.01,0,0,,0,,0,0,0,
2004/05,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.04,0.05,0.1,0.22,0.51,0.78,1.23,1.97,2.44,2.56,2.74,1.46,0.61,0.29,0.11,0.06,0.03,0.02,0.02,0.02,0.08,0,0,,0,0
2005/06,0,0,,0,,,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0.01,0,,0,0.02,0.02,0.01,0.04,0.06,0.06,0.12,0.16,0.25,0.44,0.66,0.88,0.78,0.46,0.27,0.14,0.07,0.06,0.02,0,0,0,0,0,0,
2006/07,,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.04,0.09,0.18,0.41,1.12,1.99,2.81,4.16,4.26,3.16,1.97,1.52,0.53,0.21,0.13,0.04,0.02,0,0,0,0,0,0,0,0,
2007/08,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0,0.04,0.05,0.04,0.04,0.19,0.58,1.29,1.8,1.76,2.03,2.1,2.29,1.55,1.25,0.69,0.39,0.35,0.2,0.21,0.11,0.15,0.03,0.01,0.01,0,0,0,,0,
2008/09,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.11,0.16,0.32,0.27,0.26,0.76,2.25,4.57,5.31,6.03,5.02,3.08,1.88,1.42,0.74,0.47,0.29,0.16,0.07,0.04,0.01,0.05,0.06,0.03,0.03,0.03,0.07,0.16,0.23,0.19,
2009/10,0.58,0.45,1.4,3.03,3.8,3.08,2.59,2.04,1.64,1.35,1.21,1.02,1.22,1.53,1.71,1.9,3.36,9.69,24.64,39.93,25.99,17.81,11.53,8.45,6.06,2.36,1.24,1.12,0.67,0.47,0.37,0.25,0.16,0.08,0.11,0.08,0.07,0.05,0.06,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,
2010/11,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0.02,0.01,0.03,0.1,0.13,0.22,0.67,2.55,4.57,5.72,7.15,7.79,6.16,4.65,3.82,2.93,3.04,1.71,1,0.59,0.23,0.11,0.03,0.04,0.02,0.01,0.01,0,0,0,0,0,
2011/12,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.02,0.01,0.03,0.02,0.02,0.02,0.02,0.03,0.05,0.1,0.12,0.25,0.53,1.01,1.53,1.65,1.91,1.83,1.38,0.72,0.4,0.44,0.4,0.18,0.15,0.05,0.05,0.02,0,0,0,0,
2012/13,,0,0,,0,0,0,0,0,0,,0,0,,0,0,0.01,0,0.02,0.02,0.03,0.06,0.1,0.2,0.43,0.25,0.4,0.93,2.17,4.28,8.13,9.45,8.78,10.86,10.63,8.77,6.78,4.9,2.92,1.94,1.88,1.07,0.42,0.22,0.08,0.04,0.02,0.02,0.02,0.01,0.01,0,
2013/14,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.01,0,0.01,0.01,0.01,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.08,0.11,0.25,0.38,0.53,0.69,0.74,0.82,0.79,0.8,0.85,0.63,0.55,0.47,0.2,0.15,0.11,0.06,0.03,0.04,0.02,0.01,0,0,0.02,
2014/15,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.02,0.01,0.02,0.02,0.03,0.04,0.04,0.09,0.19,0.16,0.17,0.53,1.19,2.18,4.51,7.76,10.32,12.99,15.44,12.07,9.07,6.11,4.2,2.21,1.24,1.26,0.71,0.36,0.2,0.11,0.07,0.04,0.03,0,0.02,0,
2015/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.03,0.02,0.05,0.08,0.07,0.15,0.2,0.3,0.16,0.16,0.29,0.56,1.1,2.28,2.95,2.92,4.37,6.29,7.8,10.28,11.01,8.49,5.85,4.38,2.49,1.4,0.9,0.4,0.39,0.12,0.06,0.11,0.02,0.01,0.01,0.01
2016/17,0,0,0,0.01,0,0,0,0,0,0.02,0.01,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.04,0.1,0.15,0.2,0.38,0.89,1.39,1.62,2.42,4.38,7.27,12.22,17.39,20.2,17.99,14.54,7.51,4.12,2.08,1.28,0.77,0.48,0.2,0.12,0.15,0.12,0.13,0.09,0.04,0.04,0.02,0.02,0.02,0.01,
2017/18,0,0,0,0.02,0.01,0.01,0,0,0.01,0.02,0.01,0.01,0.03,0.04,0.03,0.04,0.04,0.03,0.06,0.05,0.1,0.11,0.2,0.36,0.59,0.76,1.6,3.02,5.24,10.31,17.06,19.42,24.89,39.13,47.21,57.53,49.77,27.39,14.21,6.91,3.71,1.43,0.53,0.22,0.08,0.06,0.03,0.05,0.02,0.03,0.02,0,
2018/19,0.02,0,0.01,0.01,0,0,0,0,0,0.01,0,0,0.02,0.01,0.04,0.03,0.06,0.04,0.08,0.09,0.12,0.19,0.32,0.37,0.48,0.31,0.72,1.8,3.2,5.95,12.8,20.48,30.17,32.71,30.41,26.84,21.95,16.6,10.85,6.31,3.76,1.73,1.19,0.53,0.37,0.24,0.17,0.1,0.07,0.04,0.02,0.03,
2019/20,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.04,0.08,0.14,0.1,0.09,0.12,0.14,0.2,0.38,0.51,0.96,1.78,1.01,1.9,4,6.37,10.28,20.79,28.98,26.86,26.6,27.98,32.77,25.24,13.96,4.72,1.75,0.76,0.6,0.33,0.2,0.39,0.3,0.15,0.11,0.07,0.06,0.11,0.33,
2020/21,0,0,0.01,0,0.01,0,0.01,0,0,0,0,0,0.01,0,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.04,0.04,0.04,0.03,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0,0,0,0,0.01,0,0,0,0
2021/22,0,0,0.01,0,0,0,0,0.01,0.03,0.02,0.02,0,0.03,0.03,0.02,0.04,0.04,0.05,0.06,0.05,0.05,0.05,0.08,0.12,0.1,0.11,0.22,0.28,0.35,0.35,0.4,0.35,0.3,0.24,0.24,0.39,0.58,0.78,0.85,1.07,1.27,1.29,1.84,2.1,2.59,2.26,1.16,0.94,0.75,0.7,0.65,0.42,
2022/23,0.26,0.28,0.24,0.21,0.21,0.21,0.26,0.3,0.31,0.3,0.3,0.38,0.77,1.12,1.83,2.37,2.73,2.85,4.47,8.37,18.26,37.14,58.92,72.73,64.12,26.91,17.44,7.29,3.34,2.53,2.54,2.78,3.11,3.22,3.47,3.96,4.37,4.71,3.46,2.12,1.64,1.27,0.93,0.7,0.64,0.35,0.3,0.19,0.15,0.11,0.1,0.08,
