, SW01, SW02, SW03, SW04, SW05, SW06, SW07, SW08, SW09, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW50, SW51, SW52, SW53
2000/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2013/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2015/16,,,,,,,,,,,,0,,,0,,,0,0,0,0,0,0,0,0.01,0.02,0.01,0.05,0.06,0.11,0.11,0.14,0.17,0.2,0.17,0.22,0.14,0.13,0.1,0.07,0.09,0.08,0.03,0.02,0.02,0.02,0,0.01,0,0,0.01,0,
2016/17,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0.01,0.01,0.02,0.05,0.1,0.13,0.22,0.26,0.2,0.25,0.26,0.31,0.34,0.35,0.41,0.28,0.21,0.16,0.11,0.06,0.02,0.03,0.02,0,0,0,0,0,0,0,0,,0,,0,
2017/18,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.04,0.03,0.05,0.12,0.21,0.31,0.35,0.36,0.27,0.53,0.5,0.43,0.4,0.24,0.14,0.15,0.08,0.06,0.03,0.01,0.01,0,0,0,0,,0,
2018/19,,0,0,0,0,0,,0,,0,0,0,,,0,0,0,0,0,0,0,0.02,0.03,0.06,0.09,0.07,0.11,0.12,0.27,0.44,0.56,0.77,0.85,0.78,0.58,0.53,0.47,0.36,0.23,0.17,0.1,0.04,0.03,0.02,0.01,0,0,0,0,0,,,
2019/20,,0,0,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.03,0.02,0.03,0.06,0.09,0.13,0.21,0.29,0.32,0.3,0.42,0.48,0.38,0.39,0.21,0.1,0.03,0.02,0,0,0,0,0,,,0,0,,
2020/21,,,,,0,,,,0,0,0,0,0,0,,,0,0,0,,,,,,0,,,0,,,,,0,0,,,,0,,,,,,,0,,0,,,0,0,0,
2021/22,0,0,0,0,0.02,0.02,0.03,0.04,0.11,0.22,0.39,0.62,0.84,1.19,1.06,0.8,0.47,0.59,0.33,0.18,0.15,0.1,0.07,0.07,0.04,0.07,0.03,0.02,0.02,0.02,0.02,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,,0,0,0,0,0,
2022/23,0.01,0,0,0,0,0,,0,0,0,0,0.01,0.01,0.01,0.04,0.04,0.06,0.1,0.2,0.27,0.57,0.86,1.43,1.45,1.29,0.68,1,0.73,0.48,0.5,0.36,0.3,0.22,0.2,0.16,0.15,0.09,0.08,0.06,0.05,0.04,0.02,0.02,0.02,0.02,0,0,0.03,0.02,0.01,0.01,0,
2023/24,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.02,0.08,0.04,0.04,0.03,0.05,0.05,0.08,0.13,0.26,0.47,0.86,1.49,2.3,4.02,5.06,3.52,4.61,4.11,4.43,5.53,5.76,5.53,4.49,3.75,3.05,2.4,2,1.5,0.83,0.8,0.53,0.43,0.42,0.25,0.14,0.13,0.08,0.1,0.07,0.05,0.04,0.04,
2024/25,0.06,0.04,0.03,0.02,0.02,0.04,0.04,0.06,0.04,0.03,0.03,0.05,0.07,0.03,0.04,0.07,0.07,0.1,0.12,0.18,0.28,0.45,0.53,0.84,1.21,0.76,1.24,1.83,2.28,3.71,4.82,5.32,6.06,6.65,7,6.68,6.56,5.6,5.26,4.34,3.53,2.33,1.75,1.06,0.93,0.62,0.42,0.28,0.25,0.14,0.1,0.09,
2025/26,0.07,0.05,0.04,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.06,0.1,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
